mykCollegeId,UNITID
1001,100858.0
1002,100937.0
1003,101073.0
1004,103945.0
1005,107080.0
1006,107099.0
1007,107220.0
1008,114734.0
1009,117894.0
1010,127389.0
1011,129774.0
1012,132374.0
1013,136765.0
1014,136774.0
1015,136783.0
1016,136826.0
1017,136950.0
1018,137023.0
1019,137713.0
1020,137962.0
1021,138132.0
1022,
1023,138284.0
1024,
1025,138716.0
1026,138761.0
1027,138789.0
1028,138813.0
1029,138822.0
1030,138840.0
1031,138868.0
1032,138901.0
1033,138929.0
1034,138938.0
1035,138947.0
1036,138956.0
1037,139010.0
1040,139144.0
1041,139153.0
1042,139199.0
1043,139205.0
1044,139393.0
1045,139719.0
1046,139968.0
1047,139986.0
1048,145831.0
1049,
1050,153001.0
1051,160135.0
1052,161484.0
1053,161776.0
1054,163453.0
1055,163462.0
1056,166045.0
1057,166939.0
1058,167215.0
1059,167598.0
1060,167631.0
1061,167677.0
1062,167729.0
1063,167738.0
1064,167783.0
1065,167792.0
1066,167835.0
1067,167871.0
1068,168883.0
1069,169187.0
1070,169220.0
1071,169248.0
1072,169275.0
1073,169284.0
1074,169327.0
1075,169363.0
1076,169655.0
1077,169947.0
1078,170037.0
1079,170444.0
1080,170736.0
1081,170790.0
1082,171128.0
1083,171225.0
1084,171599.0
1085,171997.0
1086,172015.0
1087,172200.0
1088,172264.0
1089,172291.0
1090,172325.0
1091,172334.0
1092,172422.0
1093,
1094,172495.0
1095,
1096,
1097,172680.0
1098,
1099,172866.0
1100,173203.0
1101,173258.0
1102,173300.0
1103,173461.0
1104,173559.0
1105,173708.0
1107,173735.0
1108,173799.0
1110,173993.0
1111,174075.0
1112,174127.0
1113,174376.0
1114,174437.0
1115,174738.0
1116,174747.0
1118,
1119,174978.0
1120,175041.0
1121,175078.0
1122,175120.0
1123,
1124,175227.0
1125,175236.0
1126,175263.0
1127,175281.0
1128,175430.0
1129,175573.0
1130,175643.0
1131,175652.0
1132,175722.0
1133,175786.0
1134,175810.0
1135,175856.0
1136,175935.0
1137,176008.0
1138,176053.0
1139,176178.0
1140,176336.0
1141,176354.0
1142,
1144,176628.0
1146,176664.0
1147,176716.0
1148,176770.0
1149,176789.0
1150,176798.0
1151,176910.0
1152,176947.0
1153,176965.0
1154,176983.0
1156,177038.0
1157,177056.0
1158,177065.0
1159,177083.0
1160,177092.0
1161,177117.0
1162,177126.0
1163,177135.0
1164,177144.0
1165,177214.0
1166,177250.0
1167,177278.0
1168,177287.0
1169,177302.0
1170,177339.0
1171,177418.0
1172,177436.0
1173,177472.0
1174,177542.0
1175,177551.0
1176,177579.0
1177,177588.0
1178,177603.0
1179,177676.0
1180,177685.0
1181,177719.0
1182,177746.0
1183,177816.0
1184,177834.0
1185,177870.0
1186,177931.0
1187,177940.0
1188,177968.0
1189,177977.0
1190,177986.0
1191,177995.0
1192,178059.0
1193,178077.0
1194,178110.0
1195,178183.0
1196,178208.0
1197,178217.0
1198,178244.0
1202,178341.0
1203,178369.0
1204,178387.0
1205,178396.0
1206,178402.0
1207,178411.0
1208,178420.0
1209,178448.0
1210,178466.0
1212,178518.0
1213,178527.0
1214,178615.0
1215,178624.0
1216,178679.0
1217,178697.0
1218,178721.0
1219,178767.0
1220,178828.0
1221,178891.0
1222,178989.0
1223,179043.0
1224,179052.0
1226,179159.0
1227,179195.0
1228,179229.0
1229,179238.0
1230,179256.0
1231,179265.0
1232,179308.0
1233,179317.0
1234,179326.0
1235,179344.0
1236,179450.0
1237,179511.0
1238,179539.0
1239,179548.0
1240,179557.0
1241,179566.0
1242,179645.0
1243,179715.0
1244,179812.0
1245,
1246,
1248,
1249,
1250,
1251,179991.0
1252,180054.0
1253,180063.0
1254,180081.0
1255,180090.0
1256,180106.0
1257,180151.0
1258,180160.0
1259,180179.0
1260,180197.0
1261,180203.0
1262,180212.0
1263,180249.0
1264,
1265,180276.0
1266,180328.0
1267,180373.0
1269,180416.0
1270,180461.0
1271,180489.0
1272,180522.0
1273,180595.0
1274,180647.0
1275,180692.0
1276,180771.0
1277,180814.0
1278,180832.0
1279,180878.0
1280,180902.0
1281,180948.0
1282,180957.0
1283,180984.0
1284,181002.0
1285,181020.0
1286,181093.0
1287,181127.0
1288,181145.0
1289,181190.0
1290,181215.0
1291,181242.0
1292,181297.0
1293,181303.0
1294,181312.0
1295,181330.0
1296,181376.0
1297,181394.0
1298,181400.0
1299,181419.0
1300,181428.0
1301,181446.0
1302,181464.0
1303,181491.0
1304,181534.0
1305,181604.0
1306,181640.0
1307,181738.0
1309,181765.0
1310,
1312,
1313,
1314,181880.0
1315,181941.0
1316,182005.0
1317,182111.0
1318,182148.0
1319,182281.0
1320,182290.0
1321,182306.0
1322,182458.0
1323,182500.0
1324,
1325,182634.0
1326,182652.0
1328,182670.0
1329,182704.0
1330,182722.0
1331,182795.0
1332,182829.0
1334,182892.0
1335,182917.0
1336,182953.0
1337,182980.0
1338,182999.0
1339,183026.0
1340,183035.0
1341,183044.0
1342,183062.0
1343,183071.0
1344,183080.0
1345,183099.0
1346,
1347,183114.0
1348,183123.0
1349,183132.0
1350,183141.0
1351,183150.0
1352,183202.0
1353,183211.0
1354,183239.0
1355,183248.0
1356,183257.0
1357,183275.0
1358,183488.0
1359,183655.0
1360,183725.0
1361,183743.0
1362,183789.0
1363,183804.0
1364,183822.0
1365,183859.0
1366,183877.0
1367,183910.0
1368,183938.0
1369,183974.0
1370,183983.0
1371,184047.0
1372,184056.0
1373,184092.0
1375,184180.0
1376,184205.0
1377,184278.0
1378,184348.0
1380,184427.0
1381,184481.0
1382,184506.0
1383,184603.0
1384,184612.0
1385,184694.0
1386,184746.0
1387,184773.0
1388,184782.0
1389,184791.0
1390,184816.0
1391,184870.0
1392,184959.0
1393,184968.0
1394,184995.0
1395,185129.0
1396,185174.0
1397,185262.0
1398,185332.0
1399,185396.0
1400,185466.0
1401,185509.0
1402,185536.0
1403,185572.0
1404,185590.0
1406,185679.0
1407,185721.0
1409,185758.0
1410,185767.0
1411,185828.0
1412,185873.0
1413,185970.0
1414,186016.0
1415,186034.0
1416,186052.0
1417,186122.0
1418,186131.0
1419,186186.0
1420,186201.0
1421,186274.0
1422,186283.0
1423,186335.0
1424,186371.0
1425,186380.0
1426,186399.0
1427,186405.0
1428,186423.0
1429,186432.0
1430,186469.0
1431,186584.0
1432,186593.0
1433,186618.0
1434,186645.0
1435,186867.0
1436,186876.0
1437,186900.0
1438,187000.0
1439,187046.0
1440,187134.0
1442,187198.0
1443,
1444,187505.0
1445,187532.0
1446,187596.0
1447,187602.0
1448,187620.0
1449,187639.0
1450,187648.0
1451,187666.0
1452,187745.0
1453,187897.0
1454,187903.0
1455,187912.0
1456,187958.0
1457,187967.0
1458,187976.0
1459,187985.0
1460,187994.0
1461,188003.0
1462,188021.0
1463,188030.0
1464,188049.0
1465,188058.0
1466,188100.0
1467,188137.0
1468,188146.0
1469,
1470,188207.0
1471,188216.0
1472,188225.0
1473,188261.0
1474,
1475,
1476,
1477,188429.0
1478,188438.0
1480,188517.0
1481,188526.0
1482,188535.0
1483,188580.0
1484,188641.0
1485,188650.0
1486,188669.0
1487,188678.0
1488,188687.0
1489,188696.0
1490,188854.0
1491,188890.0
1492,188915.0
1493,188942.0
1495,189015.0
1496,189088.0
1497,189097.0
1498,189219.0
1499,189228.0
1500,189264.0
1501,189273.0
1502,189282.0
1503,189404.0
1504,189413.0
1506,189459.0
1507,189468.0
1508,189477.0
1509,189501.0
1510,189547.0
1511,189556.0
1512,189565.0
1513,189574.0
1514,189583.0
1515,189592.0
1516,189705.0
1517,189714.0
1518,189811.0
1519,189839.0
1520,189848.0
1521,189857.0
1522,189954.0
1523,189981.0
1524,189990.0
1525,190008.0
1526,190044.0
1527,190053.0
1528,190071.0
